Puerto Obaldía,8.6663907,-77.420826
Vitoria-Gasteiz,42.8563356,-2.7033575
Two Hills,53.7131425,-111.743338
Fangxian,32.055542,110.741092
Mukacheve,48.4493055,22.7117106
Pilcuyo,-16.111792,-69.5541
Cangzhou,38.304477,116.838834
Plandi,-7.5651443,112.239892
Gros Morne,19.6677746,-72.6757236
Smolensk,54.7278753,31.9292855
Tianhekou,32.86268,110.40864
Krajan Caluk,-8.037728,111.4007597
Karasgede,-6.7152549,111.4246078
Yuhuangding,37.535809,121.386029
Bābol,36.5386629,52.6764543
Babakanloa,-7.1691828,108.0050384
Győr,47.6676533,17.6300988
Karangtalun,-7.6772147,109.0185719
Alíartos,38.3741418,23.1060007
Zhaike,36.292333,106.433445
Utrecht (stad),52.08234,5.1175293
Malko Tŭrnovo,41.9797938,27.5250475
Ourinhos,-22.9798639,-49.8699589
Chusovoy,58.249304,57.783316
Polowat,7.357338,149.200361
Maracaçumé,-2.0133843,-45.9991326
Al Kittah,32.2774243,35.8397748
Kabo,7.6949299,18.6264694
Birni N Konni,13.7946714,5.2527741
Jangheung,34.6816856,126.9069278
Jinhu,33.025433,119.020584
Bremerhaven,53.5567847,8.5929499
Si Khoraphum,14.9445596,103.7983521
Martaban,16.5347882,97.6032892
Sabang,14.347522,120.9245309
Saint-Étienne,45.4815563,4.3637137
Muhos,64.8101062,25.987464
Załuski,52.4977237,20.5022109
Krujë,41.5094765,19.7710732
Melioratyvne,48.6160168,35.398479
Shuizhai,23.923594,115.761018
Konče,41.49511,22.38359
Webuye,0.5992059,34.779603
Nizhniye Vyazovyye,55.8697739,48.5236711
Härnösand,62.6291355,17.953415
Sixi,27.720727,118.132068
Bishan,29.592024,106.227305
Calmar,53.26683,-113.81874
Santana de Parnaíba,-23.4429961,-46.9226576
Zizhao,35.416734,119.526925
Paccha,-11.8532073,-75.508016
Pampamarca,-14.1462865,-71.4603621
Gangtun,40.927831,120.632941
Ropcha,48.1120825,25.7664345
Montfavet,43.9307146,4.8743415
Zhangjiahe,29.117096,110.479191
Ban Phaeo,13.5924758,100.1031202
Hengtang,26.893368,112.572018
Borgarnes,64.5180595,-21.8898511
Paranavaí,-23.0821226,-52.4622155
Cimanggu,-6.956164,106.7714
Dawuhan,-7.5201771,109.2638245
Yujing,32.5741081,-117.0553896
Helsingborg,56.0265492,12.8055694
Maia,41.2022247,-8.5597719
Vidago,41.6454266,-7.5734783
Paipu,22.980665,116.342934
Karanglo,-7.7623521,112.9848168
Kumagunnam,13.1529217,10.6351404
Ami,36.0336597,140.2064183
Lucma,-8.933278,-77.42086
Połaniec,50.43302,21.28065
Ma‘arrat an Nu‘mān,35.6479869,36.6795425
Itapipoca,-3.2244045,-39.7755571
Hongjia,36.689919,118.4807442
Shamakhi,40.6318731,48.6363801
Louisville,38.2,-85.7
Daszewice,52.30002,16.95723
Jianghai,22.560473,113.111612
Dangchang Chengguanzhen,34.041823,104.39189
Washington,38.8920292,-77.0136483
Laironja,-10.0798,120.2781
Xuling,42.743284,123.35235
Arcos,-20.2877726,-45.5396954
Rivera,-30.9178625,-55.5469032
Onguday,50.75425,86.13414
Estoril,38.7107263,-9.3975414
Kovrov,55.5808883,42.0289058
Quimper,47.9894676,-4.1116493
Macatuba,-22.504198,-48.71221
Bela Vista,-21.9111483,-56.4719928
Chenyangzhai,34.313074,108.715716
Huangqu,23.106401,113.459749
Richmond,37.93,-122.38
Singida,-6.7453352,34.1531947
Mingjing,31.189496,121.42185
Mbomba,-0.5223759,121.674572
Qom,34.6399443,50.8759419
Biñan,14.3160322,121.0671937
Buka,-8.681402,115.1957203
